"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"200.","1536","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Прва крагујевачка гимназија","Даничићева 1","34000","prvagimnazijakg@yahoo.com","(034)335506","http://prvagimnazija.edu.rs","7151292","101576683","1833-10-21","Гимназије","Државно","45","0","0","1260","728","0","0","0","106","85.410000","138","116.610000"
"201.","1537","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Друга крагујевачка гимназија","Лицеја Кнежевине Србије 2","34000","drugagim@kg.ac.rs","(034)341398","http://www.drugagimnazija.edu.rs","7668104","101317717","1991-09-04","Гимназије","Државно","33","0","0","949","595","0","0","0","75","63.674400","101","91.624400"
"202.","1538","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Трговинско-угоститељска школа Тоза Драговић","Саве Ковачевића 25","34000","tozadragovic@mts.rs","(034)6333237","http://www.tozadragovic.wordpress.com","7151250","100562509","1968-07-12","Средње стручне школе","Државно","28","3","0","744","476","5","6","0","84","69.237900","107","93.777900"
"203.","1539","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Медицинска школа са домом ученика Сестре Нинковић","Радоја Домановића 2","34000","medskg@ptt.rs","(034)370201","http://www.sajtm.medicinskakg.com","7150318","101042289","1954-09-01","Средње стручне школе","Државно","20","0","0","643","518","0","0","0","70","52.510300","112","94.510300"
"204.","1542","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Прва техничка школа","Радоја Домановића 8","34000","prvatehnicka@gmail.com","(034)332461","http://www.prvatehnicka.edu.rs","7151306","101508745","1941-10-19","Средње стручне школе","Државно","50","1","0","1406","441","0","1","0","116","110.069000","149","145.069000"
"205.","1544","Крагујевац","Шумадијски управни округ","Рача","Рача","Средња школа Ђура Јакшић","Карађорђева 94","34210","office@raca.edu.rs","(034)751156","http://www.raca.edu.rs","7113579","101228345","1920-09-17","Средње стручне школе","Државно","12","0","0","278","141","0","0","0","39","21.767900","47","32.767900"
"206.","1545","Крагујевац","Шумадијски управни округ","Лапово","Лапово (варошица)","Средња школа","Светозара Марковића 43","34220","office@lapovo.edu.rs","(034)850230","http://www.lapovo.edu.rs","6952461","101888518","1993-05-13","Средње стручне школе","Државно","7","3","0","160","89","1","2","0","26","14.438500","33","21.438500"
"207.","1546","Крагујевац","Шумадијски управни округ","Топола","Топола (варошица)","Средња школа Краљ Петар Први","Шумадијска 2","34310","ss.kraljpetar1@mts.rs","(034)6811035","http://www.srednjaskola-topola.edu.rs","7123604","101224115","1925-09-01","Средње стручне школе","Државно","21","3","0","497","204","0","5","0","58","43.612500","81","66.386000"
"208.","1547","Ниш","Пиротски управни округ","Бела Паланка","Бела Паланка","Средња школа Никета Ремезијански са домом ученика","9. мај 2","18310","srednjaskolabp@gmail.com","(018)855510","http://www.srednjaskolabelapalanka.edu.rs","7106530","100402065","1941-07-23","Средње стручне школе","Државно","10","0","0","171","86","0","4","0","31","18.065400","40","27.065400"
"209.","1548","Ниш","Пиротски управни округ","Димитровград","Димитровград","Гимназија Свети Кирило и Методије","Кирила и Методије 12","18320","gimnazijadimgrad@mts.rs","(010)362163","http://www.cargim.edu.rs","7153139","101045601","1890-09-01","Средње стручне школе","Државно","15","0","0","242","143","0","0","0","38","29.329900","52","43.679900"
"210.","1549","Ниш","Пиротски управни округ","Пирот","Пирот","Гимназија Пирот","Српских владара 118","18300","gimpi@ptt.rs","(010)311437","http://www.gimnazija.edu.rs","7131577","100374159","1997-12-31","Гимназије","Државно","17","0","0","434","283","0","0","0","49","33.454600","63","47.454600"
"211.","1550","Ниш","Пиротски управни округ","Пирот","Пирот","Економска школа Пирот","Таковска 24","18300","ekonoskolapi@neobee.net","(010)311268","http://www.ekonomskapirot.rs","7131569","100353832","1956-07-10","Средње стручне школе","Државно","16","0","0","455","323","0","3","0","55","36.629700","68","52.529700"
"212.","1551","Ниш","Пиротски управни округ","Пирот","Пирот","Млекарска школа са домом ученика Др. Обрен Пејић","Николе Пашића 173","18300","pimleksko@mts.rs","10311258","http://mlekarskaskolapirot.edu.rs","7172419","100188336","1966-01-04","Средње стручне школе","Државно","10","4","0","173","73","8","4","0","38","26.770300","63","53.120300"
"213.","1552","Ниш","Пиротски управни округ","Пирот","Пирот","Техничка школа","Таковска 22","18300","direktor@tsp.edu.rs","(010)311269","http://www.tsp.edu.rs","7131542","100358966","1878-09-30","Средње стручне школе","Државно","24","0","0","690","152","4","0","1","74","59.527500","95","83.027500"
